iter	RMSE
0	3682.326099
1	3654.891817
2	3644.439721
3	3634.597106
4	3624.958826
5	3605.916475
6	3586.116881
7	3582.931812
8	3566.023644
9	3530.093029
10	3495.367378
11	3477.029185
12	3443.99781
13	3419.019975
14	3409.202764
15	3392.688179
16	3375.223725
17	3367.94335
18	3345.050702
19	3330.033069
20	3287.539755
21	3279.245025
22	3261.352078
23	3259.801759
24	3251.030519
25	3241.285397
26	3233.330113
27	3201.899526
28	3193.8084
29	3185.883129
30	3176.509964
31	3168.569578
32	3137.366576
33	3129.639978
34	3128.349622
35	3120.704227
36	3105.996105
37	3092.767626
38	3063.918932
39	3031.617147
40	3009.198979
41	3007.918258
42	3000.703734
43	2995.339539
44	2981.475952
45	2974.949526
46	2947.711542
47	2933.62855
48	2923.425975
49	2910.640925
50	2909.771537
51	2903.062507
52	2896.659105
53	2891.575875
54	2885.650487
55	2875.129525
56	2868.98749
57	2862.636005
58	2841.61849
59	2824.03197
60	2816.074205
61	2802.08257
62	2778.901957
63	2765.355164
64	2756.27201
65	2743.215078
66	2724.683566
67	2698.55046
68	2692.965937
69	2687.752436
70	2682.866412
71	2678.663968
72	2669.898596
73	2666.268751
74	2654.887042
75	2646.048855
76	2626.496816
77	2618.430302
78	2589.883806
79	2567.656103
80	2564.879223
81	2556.248037
82	2548.523425
83	2546.307793
84	2542.235915
85	2537.691036
86	2528.144868
87	2524.626486
88	2506.1309
89	2502.525361
90	2483.332127
91	2473.140611
92	2464.840477
93	2454.70836
94	2450.946938
95	2428.216055
96	2408.993716
97	2399.3119
98	2395.438216
99	2371.374843
100	2370.722285
101	2362.962931
102	2359.614126
103	2344.528871
104	2341.782313
105	2340.537549
106	2335.945417
107	2335.09333
108	2331.335087
109	2323.297179
110	2318.584224
111	2312.717424
112	2309.021302
113	2288.430885
114	2287.790395
115	2277.886194
116	2275.221416
117	2271.584919
118	2263.19871
119	2259.58484
120	2256.352563
121	2236.49477
122	2223.737365
123	2217.576206
124	2214.867748
125	2214.310103
126	2206.66089
127	2206.101652
128	2203.184595
129	2194.266998
130	2193.773844
131	2179.213237
132	2166.607258
133	2158.292789
134	2149.817204
135	2137.691421
136	2122.095399
137	2119.541
138	2103.428539
139	2102.75631
140	2094.101842
141	2091.612427
142	2084.544222
143	2084.01524
144	2083.407596
145	2082.281219
146	2067.757523
147	2050.099721
148	2043.012194
149	2035.576445
150	2035.08254
151	2029.579116
152	2024.241737
153	2023.788594
154	2016.870851
155	2014.975707
156	2001.167069
157	1993.099823
158	1983.697702
159	1978.894399
160	1974.992605
161	1972.77418
162	1962.821943
163	1957.423189
164	1955.881389
165	1949.055728
166	1947.065454
167	1944.228229
168	1940.747924
169	1938.845175
170	1936.904284
171	1922.620605
172	1920.745638
173	1905.030664
174	1890.825314
175	1890.400797
176	1888.650688
177	1884.411119
178	1883.943473
179	1878.011108
180	1877.647862
181	1876.30272
182	1874.695061
183	1873.307935
184	1872.351778
185	1866.536286
186	1866.206665
187	1865.430705
188	1860.034439
189	1857.364367
190	1857.090969
191	1851.407292
192	1848.081724
193	1847.334594
194	1846.817842
195	1843.65257
196	1841.615353
197	1841.340971
198	1839.303292
199	1837.955134
200	1837.026464
201	1832.299453
202	1825.604419
203	1824.552372
204	1823.630101
205	1822.820556
206	1817.107926
207	1815.415867
208	1814.134773
209	1813.519362
210	1812.459471
211	1809.265654
212	1807.248582
213	1801.517344
214	1799.975325
215	1799.75632
216	1789.756674
217	1784.485185
218	1779.114803
219	1777.757275
220	1775.849318
221	1769.23148
222	1765.407182
223	1760.229877
224	1758.92511
225	1753.952707
226	1753.691217
227	1753.141383
228	1752.584903
229	1751.100984
230	1750.309775
231	1749.069688
232	1744.045836
233	1743.855582
234	1738.96982
235	1737.453269
236	1732.332088
237	1731.100117
238	1725.777401
239	1724.749278
240	1718.511122
241	1718.303219
242	1717.361173
243	1711.307174
244	1710.170702
245	1708.769226
246	1702.728507
247	1697.358261
248	1692.225393
249	1687.61814
250	1686.551282
251	1685.547418
252	1679.807813
253	1674.465137
254	1674.234316
255	1673.089703
256	1660.776607
257	1659.806591
258	1654.327947
259	1648.937836
260	1648.335452
261	1642.610031
262	1639.328655
263	1634.090552
264	1628.924649
265	1628.582305
266	1625.29584
267	1620.263021
268	1615.564751
269	1610.224761
270	1598.488522
271	1592.031545
272	1588.247711
273	1582.365999
274	1578.627956
275	1574.902278
276	1570.60634
277	1567.03207
278	1562.545963
279	1557.681306
280	1553.335424
281	1548.608524
282	1545.114835
283	1540.532273
284	1537.300286
285	1532.193543
286	1520.841803
287	1515.391127
288	1510.074529
289	1505.496978
290	1497.963932
291	1493.500137
292	1489.020516
293	1483.323625
294	1478.435021
295	1474.0767
296	1470.219114
297	1465.369581
298	1458.299385
299	1452.743865
300	1448.556365
301	1444.427823
302	1438.974748
303	1435.671449
304	1430.526889
305	1423.822317
306	1420.898213
307	1418.002417
308	1415.148406
309	1409.828534
310	1405.914203
311	1399.552642
312	1395.751278
313	1391.237353
314	1380.598339
315	1368.5852
316	1367.724522
317	1364.080142
318	1359.337443
319	1353.381766
320	1350.119097
321	1337.772088
322	1334.274534
323	1322.769234
324	1319.354367
325	1314.310803
326	1303.351853
327	1303.183679
328	1302.683417
329	1289.900585
330	1286.668019
331	1285.118689
332	1284.865693
333	1272.468578
334	1272.117913
335	1270.137381
336	1269.798405
337	1265.847627
338	1263.600985
339	1260.572824
340	1256.265442
341	1256.115271
342	1247.370027
343	1242.703233
344	1233.973631
345	1225.437771
346	1225.107205
347	1222.216774
348	1213.9271
349	1213.762917
350	1205.45938
351	1203.826585
352	1202.288748
353	1201.977393
354	1199.249189
355	1191.3835
356	1187.036544
357	1176.231182
358	1171.472875
359	1166.313342
360	1166.128266
361	1164.339603
362	1161.765683
363	1152.905569
364	1148.724532
365	1148.527057
366	1144.347497
367	1140.212557
368	1139.924712
369	1138.485812
370	1129.371372
371	1126.825748
372	1122.479282
373	1113.672085
374	1112.348553
375	1110.362218
376	1109.187726
377	1105.01866
378	1101.182567
379	1094.44128
380	1094.160556
381	1090.462628
382	1086.800809
383	1083.204217
384	1076.891087
385	1072.152273
386	1067.265295
387	1063.781814
388	1060.361276
389	1056.97856
390	1056.647752
391	1049.392384
392	1049.104845
393	1045.726103
394	1039.894555
395	1038.178443
396	1034.045744
397	1033.065005
398	1029.891182
399	1026.75909
400	1026.633921
401	1024.983909
402	1019.524527
403	1014.481881
404	1013.550607
405	1008.84506
406	1005.896735
407	1004.400884
408	1002.925723
409	1000.047895
410	999.9258298
411	999.663947
412	996.8398495
413	993.5555536
414	989.4374478
415	985.4210177
