iter	Passed	Remaining
0	169	169823
1	172	86143
2	174	58136
3	176	43999
4	178	35445
5	179	29739
6	182	25834
7	183	22800
8	185	20455
9	187	18536
10	188	16958
11	190	15653
12	191	14533
13	192	13585
14	194	12760
15	196	12087
16	198	11491
17	200	10923
18	201	10413
19	203	9952
20	204	9535
21	206	9160
22	207	8810
23	208	8495
24	211	8240
25	213	7997
26	215	7750
27	216	7512
28	217	7293
29	219	7085
30	220	6907
31	222	6735
32	225	6606
33	227	6468
34	229	6328
35	230	6184
36	232	6045
37	233	5915
38	235	5795
39	236	5675
40	237	5563
41	241	5518
42	244	5433
43	245	5338
44	246	5241
45	248	5150
46	249	5064
47	251	4980
48	252	4900
49	255	4855
50	256	4771
51	258	4714
52	260	4650
53	262	4594
54	263	4530
55	265	4469
56	266	4411
57	268	4367
58	271	4323
59	273	4280
60	274	4229
61	276	4177
62	277	4128
63	278	4079
64	280	4031
65	281	3986
66	284	3966
67	286	3925
68	287	3883
69	289	3842
70	290	3802
71	292	3764
72	293	3726
73	294	3689
74	296	3652
75	298	3625
76	300	3606
77	302	3572
78	303	3540
79	305	3508
80	306	3477
81	307	3446
82	309	3417
83	310	3387
84	312	3366
85	315	3351
86	316	3324
87	318	3297
88	319	3271
89	320	3244
90	322	3219
91	323	3194
92	325	3170
93	327	3153
94	330	3145
95	331	3123
96	333	3101
97	334	3079
98	335	3056
99	337	3035
100	337	3006
101	339	2985
102	340	2967
103	342	2952
104	345	2942
105	347	2926
106	348	2910
107	350	2893
108	351	2876
109	353	2858
110	354	2840
111	356	2828
112	358	2812
113	360	2804
114	362	2787
115	363	2771
116	365	2755
117	366	2739
118	367	2723
119	369	2707
120	371	2697
121	373	2689
122	377	2688
123	379	2678
124	380	2666
125	382	2653
126	384	2642
127	386	2635
128	389	2627
129	392	2628
130	394	2616
131	396	2605
132	397	2593
133	400	2586
134	401	2575
135	403	2562
136	404	2550
137	407	2544
138	408	2532
139	410	2520
140	411	2508
141	413	2495
142	414	2486
143	416	2475
144	417	2463
145	419	2452
146	421	2448
147	423	2437
148	424	2426
149	426	2415
150	427	2405
151	430	2400
152	432	2395
153	434	2385
154	437	2385
155	439	2377
156	441	2368
157	442	2360
158	445	2354
159	447	2348
160	449	2340
161	450	2332
162	453	2328
163	455	2320
164	457	2317
165	460	2312
166	462	2305
167	463	2296
168	466	2295
169	468	2288
170	470	2280
171	472	2275
172	474	2267
173	475	2258
174	477	2249
175	478	2239
176	479	2231
177	482	2228
178	484	2220
179	487	2219
180	489	2214
181	491	2209
182	493	2202
183	495	2196
184	498	2194
185	500	2188
186	502	2185
187	504	2180
188	506	2174
189	508	2167
190	510	2161
191	513	2159
192	515	2155
193	517	2149
194	519	2145
195	522	2143
196	524	2136
197	525	2130
198	529	2130
199	531	2126
200	533	2120
201	535	2114
202	536	2107
203	538	2100
204	539	2092
205	541	2085
206	543	2082
207	546	2080
208	548	2075
209	550	2069
210	552	2064
211	553	2057
212	554	2050
213	556	2042
214	557	2036
215	560	2035
216	562	2031
217	564	2024
218	565	2017
219	567	2010
220	568	2003
221	569	1996
222	571	1989
223	572	1983
224	576	1985
225	578	1981
226	580	1975
227	581	1968
228	582	1962
229	584	1955
230	585	1949
231	587	1943
232	590	1943
233	592	1939
234	594	1934
235	596	1929
236	597	1923
237	598	1917
238	600	1911
239	601	1905
240	605	1906
241	607	1902
242	609	1897
243	610	1892
244	612	1886
245	613	1880
246	614	1874
247	616	1868
248	618	1864
249	621	1863
250	622	1858
251	624	1853
252	626	1849
253	627	1844
254	629	1838
255	630	1832
256	632	1828
257	635	1828
258	637	1824
259	639	1819
260	641	1815
261	642	1809
262	643	1804
263	645	1798
264	647	1795
265	648	1790
266	651	1787
267	652	1782
268	653	1777
269	655	1771
270	656	1766
271	658	1761
272	659	1756
273	661	1753
274	663	1747
275	665	1745
276	667	1741
277	668	1735
278	669	1730
279	671	1725
280	672	1720
281	673	1715
282	675	1711
283	677	1707
284	678	1702
285	681	1701
286	682	1696
287	684	1691
288	685	1686
289	686	1681
290	688	1676
291	690	1674
292	691	1669
293	693	1664
294	695	1662
295	697	1658
296	698	1653
297	699	1648
298	701	1644
299	703	1640
300	704	1636
301	706	1632
302	707	1627
303	709	1623
304	712	1622
305	713	1618
306	715	1614
307	717	1612
308	719	1609
309	721	1604
310	722	1600
311	724	1596
312	726	1595
313	728	1592
314	730	1588
315	732	1585
316	734	1581
317	735	1577
318	737	1573
319	738	1569
320	740	1566
321	742	1564
322	744	1560
323	746	1557
324	748	1553
325	749	1549
326	750	1545
327	752	1541
328	753	1537
329	755	1533
330	757	1531
331	759	1528
332	762	1527
333	764	1525
334	766	1522
335	769	1520
336	771	1517
337	773	1514
338	775	1513
339	777	1510
340	779	1506
341	780	1502
342	782	1499
343	784	1495
344	786	1493
345	788	1490
346	791	1488
347	792	1484
348	794	1481
349	795	1476
350	796	1473
351	798	1469
352	799	1466
353	803	1465
354	805	1463
355	807	1459
356	808	1456
357	809	1452
358	811	1448
359	813	1445
360	814	1441
361	816	1438
362	819	1437
363	821	1435
364	823	1431
365	824	1428
366	826	1425
367	828	1422
368	829	1418
369	830	1414
370	835	1415
371	836	1412
372	838	1408
373	839	1404
374	840	1401
375	842	1398
376	843	1394
377	845	1390
378	847	1389
379	850	1387
380	852	1384
381	853	1380
382	855	1377
383	856	1374
384	858	1370
385	859	1367
386	861	1364
387	864	1364
388	866	1361
389	868	1358
390	869	1355
391	871	1352
392	873	1349
393	875	1346
394	881	1349
395	883	1347
396	884	1343
397	886	1340
398	888	1337
399	889	1334
400	892	1332
401	895	1332
402	897	1329
403	898	1325
404	900	1323
405	902	1319
406	903	1316
407	905	1313
408	907	1310
409	910	1309
410	911	1306
411	913	1303
412	915	1301
413	917	1298
414	918	1295
415	920	1292
416	922	1289
417	924	1287
418	926	1284
419	928	1281
420	929	1278
421	931	1275
422	933	1272
423	934	1269
424	936	1267
425	938	1264
426	940	1262
427	942	1259
428	944	1256
429	945	1253
430	947	1251
431	949	1248
432	951	1245
433	952	1242
434	955	1241
435	957	1238
436	959	1235
437	960	1232
438	962	1230
439	964	1227
440	966	1224
441	967	1221
442	969	1218
443	971	1216
444	973	1213
445	974	1210
446	976	1208
447	978	1205
448	980	1202
449	981	1200
450	983	1197
451	986	1195
452	988	1193
453	989	1190
454	991	1187
455	993	1184
456	994	1182
457	996	1179
458	997	1176
459	999	1173
460	1001	1171
461	1003	1168
462	1005	1166
463	1007	1164
464	1009	1161
465	1011	1158
466	1012	1155
467	1013	1152
468	1017	1151
469	1019	1149
